# ============================================================================
# Et Futurum Requiem - Enhanced Book texture mapping (refined for Minecraft 1.7.10)
# ----------------------------------------------------------------------------
# SOURCE: Bibliophilia resource pack. The upstream data targets Minecraft 1.16.1
# and 1.21.x, so it is written around *modern* enchantment keys (Enchantment
# registry ids) and Fabric/Forge mod enchantments that mostly do not exist here.
# This file is the refined port: it keeps every texture, but the meaning of each
# line is defined for this mod:
#
#   Format:  <key>  TAB  <texture-sub-path>
#
#   <key>              Enchantment lookup key.
#                      * NO colon      -> a vanilla/backported enchantment, using
#                        the modern name this mod targets (e.g. harvest "digging"
#                        on 1.7.10 resolves to the "efficiency" entry here). The
#                        runtime match is done in EnchantedBookTextureHandler.
#                      * "modid:name"  -> third-party linkage: kept so that when a
#                        mod registers an enchantment whose name matches, the book
#                        uses that sprite automatically. Harmless when absent.
#
#   <texture-sub-path> Path of the sprite under assets/etfuturum/textures/items/.
#                      "vanilla/<name>" resolves to book_vanilla/<name>.png; any
#                      other "owner/<name>" (a third-party mod) resolves to
#                      book_mods/<owner>_<name>.png. The PNG files were renamed
#                      accordingly when unpacking Bibliophilia.
#
# [vanilla] section lists the full modern vanilla set (backport targets); only the
# ones actually registered (1.7.10 vanilla + frost_walker/mending/swift_sneak)
# are produced in-game. [mod] section is kept in full for auto linkage.
# ============================================================================

# ---------------- [vanilla] : modern vanilla/backported keys ----------------
aqua_affinity	vanilla/aqua_affinity
cenchants:shielding	cenchants/shielding
cenchants:snap	cenchants/snap
cenchants:sorcery	cenchants/sorcery
cenchants:steadfast	cenchants/steadfast
cenchants:tranquilize	cenchants/tranquilize
cenchants:tremor	cenchants/tremor
cenchants:triumph	cenchants/triumph
cenchants:vision	cenchants/vision
cenchants:volley	cenchants/volley
cenchants:zap	cenchants/zap
combat_roll:acrobat	combatroll/acrobat
combat_roll:longfooted	combatroll/longfooted
combat_roll:multi_roll	combatroll/multi_roll
create:capacity	create/capacity
create:potato_recovery	create/potato_recovery
create_sa:digging	create_sa/digging
create_sa:gravity_gun	create_sa/gravity_gun
create_sa:hellfire	create_sa/hellfire
create_sa:impact	create_sa/impact
critical_strike:chance	critical_strike/chance
critical_strike:damage	critical_strike/damage
deeperdarker:catalysis	deeperdarker/catalysis
deeperdarker:sculk_smite	deeperdarker/sculk_smite
eleron:cloudskipper	eleron/cloudskipper
eleron:smokestack	eleron/smokestack
enchancement:adrenaline	enchancement/adrenaline
enchancement:amphibious	enchancement/amphibious
enchancement:assimilation	enchancement/assimilation
enchancement:beheading	enchancement/beheading
enchancement:berserk	enchancement/berserk
enchancement:bouncy	enchancement/bouncy
enchancement:brimstone	enchancement/brimstone
enchancement:buoy	enchancement/buoy
enchancement:bury	enchancement/bury
enchancement:chaos	enchancement/chaos
enchancement:dash	enchancement/dash
enchancement:delay	enchancement/delay
enchancement:disarm	enchancement/disarm
enchancement:extracting	enchancement/extracting
enchancement:frostbite	enchancement/frostbite
enchancement:gale	enchancement/gale
enchancement:grapple	enchancement/grapple
enchancement:leech	enchancement/leech
enchancement:lumberjack	enchancement/lumberjack
enchancement:meteor	enchancement/meteor
enchancement:molten	enchancement/molten
enchancement:perception	enchancement/perception
enchancement:phasing	enchancement/phasing
enchancement:scatter	enchancement/scatter
enchancement:scooping	enchancement/scooping
enchancement:slide	enchancement/slide
enchancement:sticky	enchancement/sticky
enchancement:strafe	enchancement/strafe
enchancement:thunderstruck	enchancement/thunderstruck
enchancement:torch	enchancement/torch
enchancement:veil	enchancement/veil
enchancement:wardenspine	enchancement/wardenspine
enchancement:warp	enchancement/warp
enchantments_plus:acceleration	enchantments_plus/acceleration
enchantments_plus:agility	enchantments_plus/agility
enchantments_plus:anti_water_bane	enchantments_plus/anti_water_bane
enchantments_plus:auto_smelting	enchantments_plus/auto_smelting
enchantments_plus:bait	enchantments_plus/bait
enchantments_plus:blaze_guard	enchantments_plus/blaze_guard
enchantments_plus:blocking	enchantments_plus/blocking
enchantments_plus:blood_blade	enchantments_plus/blood_blade
enchantments_plus:boosting	enchantments_plus/boosting
enchantments_plus:chill_guard	enchantments_plus/chill_guard
enchantments_plus:enhancement	enchantments_plus/enhancement
enchantments_plus:execution	enchantments_plus/execution
enchantments_plus:fleetfoot	enchantments_plus/fleetfoot
enchantments_plus:floating	enchantments_plus/floating
enchantments_plus:frost	enchantments_plus/frost
enchantments_plus:ice_aspect	enchantments_plus/ice_aspect
enchantments_plus:jumper	enchantments_plus/jumper
enchantments_plus:lava_walker	enchantments_plus/lava_walker
enchantments_plus:lenght	enchantments_plus/lenght
enchantments_plus:lightness	enchantments_plus/lightness
enchantments_plus:oath_of_the_nose	enchantments_plus/oath_of_the_nose
enchantments_plus:padding	enchantments_plus/padding
enchantments_plus:pain_power	enchantments_plus/pain_power
enchantments_plus:poison_aspect	enchantments_plus/poison_aspect
enchantments_plus:reach	enchantments_plus/reach
enchantments_plus:rebirth	enchantments_plus/rebirth
enchantments_plus:reflection	enchantments_plus/reflection
enchantments_plus:replanting	enchantments_plus/replanting
enchantments_plus:sensing	enchantments_plus/sensing
enchantments_plus:shove	enchantments_plus/shove
enchantments_plus:soring	enchantments_plus/soring
enchantments_plus:spikes	enchantments_plus/spikes
enchantments_plus:stunning	enchantments_plus/stunning
enchantments_plus:sunlights_blessing	enchantments_plus/sunlights_blessing
enchantments_plus:turbulence	enchantments_plus/turbulence
enchantments_plus:wave	enchantments_plus/wave
enchantplus:armor/fury	enchantplus/fury
enchantplus:armor/lifeplus	enchantplus/lifeplus
enchantplus:armor/venom_protection	enchantplus/venom_protection
enchantplus:axe/timber	enchantplus/timber
enchantplus:boots/agility	enchantplus/agility
enchantplus:boots/lava_walker	enchantplus/lava_walker
enchantplus:boots/step_assist	enchantplus/step_assist
enchantplus:bow/accuracy_shot	enchantplus/accuracy_shot
enchantplus:bow/breezing_arrow	enchantplus/breezing_arrow
enchantplus:bow/echo_shot	enchantplus/echo_shot
enchantplus:bow/eternal_frost	enchantplus/eternal_frost
enchantplus:bow/explosive_arrow	enchantplus/explosive_arrow
enchantplus:bow/rebound	enchantplus/rebound
enchantplus:bow/storm_arrow	enchantplus/storm_arrow
enchantplus:chestplate/builder_arm	enchantplus/builder_arm
enchantplus:chestplate/magnet	enchantplus/magnet
enchantplus:durability/curse_of_breaking	enchantplus/curse_of_breaking
enchantplus:durability/curse_of_enchant	enchantplus/curse_of_enchant
enchantplus:elytra/armored	enchantplus/armored
enchantplus:elytra/kinetic_protection	enchantplus/kinetic_protection
enchantplus:helmet/auto_feed	enchantplus/auto_feed
enchantplus:helmet/bright_vision	enchantplus/bright_vision
enchantplus:helmet/voidless	enchantplus/voidless
enchantplus:hoe/harvest	enchantplus/harvest
enchantplus:hoe/scyther	enchantplus/scyther
enchantplus:leggings/dwarfed	enchantplus/dwarfed
enchantplus:leggings/fast_swim	enchantplus/fast_swim
enchantplus:leggings/leaping	enchantplus/leaping
enchantplus:leggings/oversize	enchantplus/oversize
enchantplus:mace/striker	enchantplus/striker
enchantplus:mace/teluric_wave	enchantplus/teluric_wave
enchantplus:mace/wind_propulsion	enchantplus/wind_propulsion
enchantplus:midas_touch	enchantplus/midas_touch
enchantplus:mounted/cavalier_egis	enchantplus/cavalier_egis
enchantplus:mounted/ethereal_leap	enchantplus/ethereal_leap
enchantplus:mounted/steel_fang	enchantplus/steel_fang
enchantplus:mounted/velocity	enchantplus/velocity
enchantplus:pickaxe/bedrock_breaker	enchantplus/bedrock_breaker
enchantplus:pickaxe/spawner_touch	enchantplus/spawner_touch
enchantplus:pickaxe/vein_miner	enchantplus/vein_miner
enchantplus:sky_walk	enchantplus/sky_walk
enchantplus:sword/attack_speed	enchantplus/attack_speed
enchantplus:sword/critical	enchantplus/critical_hit
enchantplus:sword/death_touch	enchantplus/death_touch
enchantplus:sword/dimensional_hit	enchantplus/dimensional_strike
enchantplus:sword/fear	enchantplus/fear
enchantplus:sword/last_hope	enchantplus/last_hope
enchantplus:sword/life_steal	enchantplus/life_steal
enchantplus:sword/poison_aspect	enchantplus/poison_aspect
enchantplus:sword/pull	enchantplus/pull
enchantplus:sword/reach	enchantplus/reach
enchantplus:sword/runic_despair	enchantplus/runic_despair
enchantplus:sword/tears_of_asflors	enchantplus/tears_of_asflors
enchantplus:sword/xp_boost	enchantplus/xp_boost
enchantplus:tools/auto_smelt	enchantplus/auto_smelt
enchantplus:tools/miningplus	enchantplus/miningplus
enchantplus:trident/gungnir_breath	enchantplus/gungnir_breath
enderscape:bundling	enderscape/bundling
enderscape:lightspeed	enderscape/lightspeed
enderscape:rebound	enderscape/rebound
enderscape:transdimensional	enderscape/transdimensional
expanded_combat:agility	expanded_combat/agility
expanded_combat:blocking	expanded_combat/blocking
expanded_combat:ground_slam	expanded_combat/ground_slam
expanded_combat:knockback_resistance	expanded_combat/knockback_resistance
farmersdelight:backstabbing	farmersdelight/backstabbing
forbidden_arcanus:permafrost	forbidden_arcanus/permafrost
frostiful:enervation	frostiful_scorchful/enervation
frostiful:frozen_touch_curse	frostiful_scorchful/frozen_touch_curse
frostiful:ice_breaker	frostiful_scorchful/ice_breaker
frostiful:ice_speed	frostiful_scorchful/ice_speed
galosphere:enfeeble	galosphere/enfeeble
galosphere:rupture	galosphere/rupture
galosphere:sifting	galosphere/sifting
galosphere:sustain	galosphere/sustain
garnished:leeching_curse	garnished/leeching_curse
garnished:quick_step	garnished/quick_step
garnished:ravaging	garnished/ravaging
garnished:rejuvenate	garnished/rejuvenate
garnished:salvaging	garnished/salvaging
garnished:striking	garnished/striking
guarding:barbed	guarding/barbed
guarding:pummeling	guarding/pummeling
incantationem:bunnys_hop	incantationem/bunnys_hop
incantationem:charmed	incantationem/charmed
incantationem:decay	incantationem/decay
incantationem:forging_touch	incantationem/forging_touch
incantationem:last_stand	incantationem/last_stand
incantationem:magnetic	incantationem/magnetic
incantationem:reaping_rod	incantationem/reaping_rod
incantationem:recklessness	incantationem/recklessness
incantationem:retreat	incantationem/retreat
incantationem:swine_bane	incantationem/swine_bane
incantationem:thunder	incantationem/thunder
incantationem:tough_luck	incantationem/tough_luck
incantationem:venomous	incantationem/venomous
malum:animated	malum/animated
malum:ascension	malum/ascension
malum:capacitor	malum/capacitor
malum:haunted	malum/haunted
malum:rebound	malum/rebound
malum:replenishing	malum/replenishing
malum:spirit_plunder	malum/spirit_plunder
mynethersdelight:poaching	mynethersdelight/poaching
nova_structures:antidote	nova_structures/antidote
nova_structures:conductivity_curse	nova_structures/conductivity_curse
nova_structures:ghasted	nova_structures/ghasted
nova_structures:gravity	nova_structures/gravity
nova_structures:illagers_bane	nova_structures/illagers_bane
nova_structures:multishot	nova_structures/multishot
nova_structures:outreach	nova_structures/outreach
nova_structures:photosynthesis	nova_structures/photosynthesis
nova_structures:piercing	nova_structures/piercing
nova_structures:power	nova_structures/power
nova_structures:spiteful	nova_structures/spiteful
nova_structures:traveler	nova_structures/traveler
nova_structures:wax_wings	nova_structures/wax_wings
nova_structures:wither_coated	nova_structures/wither_coated
origins:water_protection	origins/water_protection
passablefoliage:leaf_walker	passablefoliage/leaf_walker
piglinproliferation:bang	piglinproliferation/bang
piglinproliferation:turning	piglinproliferation/turning
scorchful:rehydration	frostiful_scorchful/rehydration
shieldmechanics:block_blind_enchant	shieldmechanics/block_blind_enchant
shieldmechanics:block_damage_enchant	shieldmechanics/block_damage_enchant
shieldmechanics:block_knock_back_enchant	shieldmechanics/block_knock_back_enchant
shieldmechanics:block_last_resort_enchant	shieldmechanics/block_last_resort_enchant
shieldmechanics:block_slowness_enchant	shieldmechanics/block_slowness_enchant
soulbound:soulbound	soulbound/soulbound
spearsmod:spiraling	spearsmod/spiraling
spell_engine:spell_infinity	rpg_series/spell_infinity
spell_power:critical_chance	rpg_series/critical_chance
spell_power:critical_damage	rpg_series/critical_damage
spell_power:energize	rpg_series/energize
spell_power:haste	rpg_series/haste
spell_power:magic_protection	rpg_series/magic_protection
spell_power:soulfrost	rpg_series/soulfrost
spell_power:spell_power	rpg_series/spell_power
spell_power:sunfire	rpg_series/sunfire
supplementaries:lumisene_fire_aspect	supplementaries/lumisene_fire_aspect
supplementaries:lumisene_flame	supplementaries/lumisene_flame
supplementaries:stasis	supplementaries/stasis
the_bumblezone:comb_cutter	the_bumblezone/comb_cutter
the_bumblezone:neurotoxins	the_bumblezone/neurotoxins
the_bumblezone:potent_poison	the_bumblezone/potent_poison
twilightforest:chill_aura	twilightforest/chill_aura
twilightforest:destruction	twilightforest/destruction
twilightforest:fire_react	twilightforest/fire_react
undergarden:longevity	undergarden/longevity
undergarden:ricochet	undergarden/ricochet
undergarden:self_sling	undergarden/self_sling
unusualend:arcane_recovery	unusualend/arcane_recovery
unusualend:benevolence	unusualend/benevolence
unusualend:boloks_fury	unusualend/boloks_fury
unusualend:boloks_head	unusualend/boloks_head
unusualend:boloks_wings	unusualend/boloks_wings
unusualend:bonding	unusualend/bonding
unusualend:everlasting	unusualend/everlasting
unusualend:joust	unusualend/joust
usefulspyglass:marking	usefulspyglass/marking
usefulspyglass:precision	usefulspyglass/precision
usefulspyglass:spotter	usefulspyglass/spotter
veinmining:vein_mining	veinmining/vein_mining
wan_ancient_beasts:blood_thirst	wan_ancient_beasts/blood_thirst
wan_ancient_beasts:egg_thief	wan_ancient_beasts/egg_thief
wan_ancient_beasts:hunter_mark	wan_ancient_beasts/hunter_mark
wan_ancient_beasts:life_steal	wan_ancient_beasts/life_steal
wan_ancient_beasts:preservation	wan_ancient_beasts/preservation
wan_ancient_beasts:treasure_hunter	wan_ancient_beasts/treasure_hunter
